0100,Mass or Volume Air Flow Circuit Malfunction
0101,Mass or Volume Air Flow Circuit Range/Performance Problem
0102,Mass or Volume Air Flow Circuit Low Input
0103,Mass or Volume Air Flow Circuit High Input
0104,Mass or Volume Air Flow Circuit Intermittent
0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
0110,IAT Circuit Malfunction
0111,Intake Air Temperature Circuit Range/Performance Problem
0112,Intake Air Temperature Circuit Low Input
0113,Intake Air Temperature Circuit High Input
0114,Intake Air Temperature Circuit Intermittent
0115,Engine Coolant Temperature Circuit Malfunction
0116,Engine Coolant Temperature Circuit Range/Performance Problem
0117,Engine Coolant Temperature Circuit Low Input
0118,Engine Coolant Temperature Circuit High Input
0119,Engine Coolant Temperature Circuit Intermittent
0120,Throttle Position Sensor/Switch A Circuit Malfunction
0121,Throttle Position Sensor/Switch A Circuit Range/Performance Problem
0122,Throttle Position Sensor/Switch A Circuit Low Input
0123,Throttle Position Sensor/Switch A Circuit High Input
0124,Throttle Position Sensor/Switch A Circuit Intermittent
0125,Insufficient Coolant Temperature for Closed Loop Fuel Control;
0126,ECT Excessive Time to Closed Loop Fuel Control
0128,Insufficient Coolant Temperature for Stable Operation
0130,Coolant Thermostat Malfunction
0131,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1)
0132,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)
0133,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1)
0134,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1)
0135,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1)
0136,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
0137,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2)
0138,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2)
0139,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2)
0140,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2)
0141,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
0142,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
0143,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3)
0144,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3)
0145,O2 Sensor Circuit High Voltage (Bank 1 Sensor 3)
0146,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3)
0147,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3)
0150,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3)
0151,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1)
0152,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1)
0153,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1)
0154,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1)
0155,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
0156,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
0157,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2)
0158,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2)
0159,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2)
0160,O2 Sensor Circuit Slow Response (Bank 2 Sensor 2)
0161,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2)
0162,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2)
0163,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3)
0164,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 3)
0165,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3)
0166,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3)
0167,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3)
0170,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3)
0171,Fuel Trim Malfunction (Bank 1)
0172,Fuel Trim System Lean (Bank 1)
